url,status,len,tables
https://basketball.realgm.com/player/Tony-Bradley/Summary/76384,200,239286,52
https://basketball.realgm.com/player/Amir-Coffey/Summary/59502,200,179067,41
https://basketball.realgm.com/player/Isaiah-Collier/Summary/160206,200,132964,36
https://basketball.realgm.com/player/John-Collins/Summary/83940,200,183598,40
https://basketball.realgm.com/player/Zach-Collins/Summary/85659,200,177627,45
https://basketball.realgm.com/player/Mike-Conley/Summary/33,200,246084,44
https://basketball.realgm.com/player/Pat-Connaughton/Summary/24234,200,197868,34
https://basketball.realgm.com/player/Javonte-Cooke/Summary/124004,200,154499,37
https://basketball.realgm.com/player/Sharife-Cooper/Summary/117356,200,206345,61
https://basketball.realgm.com/player/Bilal-Coulibaly/Summary/175550,200,134596,31
https://basketball.realgm.com/player/Isaiah-Crawford/Summary/136966,200,165863,46
https://basketball.realgm.com/player/Cedric-Coward/Summary/187064,200,105571,23
https://basketball.realgm.com/player/Cade-Cunningham/Summary/124839,200,161490,46
https://basketball.realgm.com/player/Tristan-Da-Silva/Summary/150739,200,150482,42
https://basketball.realgm.com/player/Pacome-Dadiet/Summary/162803,200,197975,49
https://basketball.realgm.com/player/Stephen-Curry/Summary/1600,200,261914,47
https://basketball.realgm.com/player/NFaly-Dante/Summary/107998,200,173284,53
https://basketball.realgm.com/player/Dyson-Daniels/Summary/151792,200,161994,43
https://basketball.realgm.com/player/Anthony-Davis/Summary/13305,200,236759,44
https://basketball.realgm.com/player/JD-Davison/Summary/151480,200,189860,54
https://basketball.realgm.com/player/Egor-Demin/Summary/183714,200,132992,34
https://basketball.realgm.com/player/DeMar-DeRozan/Summary/1605,200,247003,47
https://basketball.realgm.com/player/RayJ-Dennis/Summary/134550,200,172907,48
https://basketball.realgm.com/player/Donte-DiVincenzo/Summary/83939,200,184270,42
https://basketball.realgm.com/player/Moussa-Diabate/Summary/126848,200,159995,43
https://basketball.realgm.com/player/Hunter-Dickinson/Summary/117339,200,136761,39
https://basketball.realgm.com/player/Gradey-Dick/Summary/151289,200,152537,47
https://basketball.realgm.com/player/Ousmane-Dieng/Summary/148828,200,220595,56
https://basketball.realgm.com/player/Mohamed-Diawara/Summary/162802,200,164396,27
https://basketball.realgm.com/player/Rob-Dillingham/Summary/162009,200,144057,43
https://basketball.realgm.com/player/Nikola-Djurisic/Summary/152577,200,190017,39
https://basketball.realgm.com/player/Luguentz-Dort/Summary/95703,200,190198,54
https://basketball.realgm.com/player/Ayo-Dosunmu/Summary/107970,200,165080,44
https://basketball.realgm.com/player/Kris-Dunn/Summary/28240,200,206149,52
https://basketball.realgm.com/player/Andre-Drummond/Summary/24241,200,237420,48
https://basketball.realgm.com/player/Ryan-Dunn/Summary/162315,200,119658,30
https://basketball.realgm.com/player/Luka-Doncic/Summary/54148,200,221122,35
